filename,hardware,model_size,arrival_rate,run_id,throughput_rps,avg_e2e_latency,avg_ttft,avg_tbt,total_requests,successful_requests,hourly_cost,cost_per_1k_req
ar.1_13b_1xa100.jsonl,1xa100,13b,1.0,0,0.9085359493987449,24.089697377698666,0.18678656454770765,0.03702357377720881,298,298,0.145,0.04433261865359647
ar.2_13b_1xa100.jsonl,1xa100,13b,2.0,0,1.0874944655560184,128.1675067453126,86.3018845543079,0.06544889553473766,595,595,0.145,0.037037225524807066
ar.3_13b_1xa100.jsonl,1xa100,13b,3.0,0,1.110053192037757,267.96875832230324,225.2706843508776,0.0638036022098024,897,897,0.145,0.03628454750338467
ar.4_13b_1xa100.jsonl,1xa100,13b,4.0,0,1.1329546058529014,386.5920825864886,343.4863091052006,0.06605955655560208,1188,1187,0.145,0.035551095842411264
ar.6.5_13b_1xa100.jsonl,1xa100,13b,6.5,0,1.1471801111926234,667.9975403255255,625.1379885246636,0.06676226724890079,1880,1879,0.145,0.03511024762790254
ar.13_13b_1xa100.jsonl,1xa100,13b,13.0,0,1.1416338010359,1521.966540970329,1479.1090644600506,0.06610064626058597,3813,3813,0.145,0.03528082099639164
ar.26_13b_1xa100.jsonl,1xa100,13b,26.0,0,1.122807658278056,3310.7774981493317,3267.321683442271,0.066588970840907,7866,7866,0.145,0.03587237536262266
ar.1_13b_1xgh200.jsonl,1xgh200,13b,1.0,0,0.9737715462303623,7.317317011960194,0.060233204860135524,0.011288478840334468,298,298,1.49,0.42503695090611776
ar.2_13b_1xgh200.jsonl,1xgh200,13b,2.0,0,1.8843810218607904,11.933953506893092,0.08425484698162093,0.01729441903483766,595,595,1.49,0.219641826195098
ar.3_13b_1xgh200.jsonl,1xgh200,13b,3.0,0,2.5750106207901315,35.11340393694632,13.894229684773832,0.03304477176638699,897,897,1.49,0.16073288612762643
ar.4_13b_1xgh200.jsonl,1xgh200,13b,4.0,0,2.642937116406671,82.14369517385596,60.22803797324684,0.034354603158859034,1188,1187,1.49,0.15660186779306007
ar.6.5_13b_1xgh200.jsonl,1xgh200,13b,6.5,0,2.686904548930497,201.25658389259922,179.4092666691168,0.03455647150643763,1880,1879,1.49,0.15403929739656527
ar.13_13b_1xgh200.jsonl,1xgh200,13b,13.0,0,2.6553148175351473,568.808943711144,546.5820811721053,0.03502180908592137,3813,3813,1.49,0.15587187106992084
