strategy,model,filename,total_requests,successful_requests,throughput_rps,avg_e2e_latency,avg_ttft,avg_tbt,p1_e2e_latency,p2_e2e_latency,p3_e2e_latency,p4_e2e_latency,p5_e2e_latency,p6_e2e_latency,p7_e2e_latency,p8_e2e_latency,p9_e2e_latency,p10_e2e_latency,p11_e2e_latency,p12_e2e_latency,p13_e2e_latency,p14_e2e_latency,p15_e2e_latency,p16_e2e_latency,p17_e2e_latency,p18_e2e_latency,p19_e2e_latency,p20_e2e_latency,p21_e2e_latency,p22_e2e_latency,p23_e2e_latency,p24_e2e_latency,p25_e2e_latency,p26_e2e_latency,p27_e2e_latency,p28_e2e_latency,p29_e2e_latency,p30_e2e_latency,p31_e2e_latency,p32_e2e_latency,p33_e2e_latency,p34_e2e_latency,p35_e2e_latency,p36_e2e_latency,p37_e2e_latency,p38_e2e_latency,p39_e2e_latency,p40_e2e_latency,p41_e2e_latency,p42_e2e_latency,p43_e2e_latency,p44_e2e_latency,p45_e2e_latency,p46_e2e_latency,p47_e2e_latency,p48_e2e_latency,p49_e2e_latency,p50_e2e_latency,p51_e2e_latency,p52_e2e_latency,p53_e2e_latency,p54_e2e_latency,p55_e2e_latency,p56_e2e_latency,p57_e2e_latency,p58_e2e_latency,p59_e2e_latency,p60_e2e_latency,p61_e2e_latency,p62_e2e_latency,p63_e2e_latency,p64_e2e_latency,p65_e2e_latency,p66_e2e_latency,p67_e2e_latency,p68_e2e_latency,p69_e2e_latency,p70_e2e_latency,p71_e2e_latency,p72_e2e_latency,p73_e2e_latency,p74_e2e_latency,p75_e2e_latency,p76_e2e_latency,p77_e2e_latency,p78_e2e_latency,p79_e2e_latency,p80_e2e_latency,p81_e2e_latency,p82_e2e_latency,p83_e2e_latency,p84_e2e_latency,p85_e2e_latency,p86_e2e_latency,p87_e2e_latency,p88_e2e_latency,p89_e2e_latency,p90_e2e_latency,p91_e2e_latency,p92_e2e_latency,p93_e2e_latency,p94_e2e_latency,p95_e2e_latency,p96_e2e_latency,p97_e2e_latency,p98_e2e_latency,p99_e2e_latency,A100_Count,GH200_Count,placement_details
ours,meta-llama/CodeLlama-34b-hf,34b.jsonl,56001,56001,43.00718388193573,504.58460439353223,482.8307184595617,0.04224791759317237,14.288027338683605,25.157274121418595,35.35037554055452,45.73393040522933,56.428453132510185,67.73236299864948,79.17080892436206,89.85164522565901,100.35125489905477,110.60216808691621,121.62769899144769,131.73233933746815,141.91126413457096,151.95124831981957,162.15165207348764,172.70038946531713,182.55102771520615,192.42366154305637,202.62196664512157,212.913692811504,222.92424900084734,233.36474561691284,243.18671845272183,253.4571548141539,263.62628565728664,273.2996676005423,282.7842096630484,292.42637702822685,302.47201304137707,312.0374181959778,322.3521264567971,332.22749029286206,342.1948755700141,351.6444739680737,361.67880933173,370.81917003542185,380.90812844224274,390.1906468588859,400.31875478476286,410.33710725046694,420.2526360359043,429.7059032153338,439.8696834035218,449.69102746248245,459.0849071405828,468.9104201570153,478.2914750389755,488.0285600665957,497.3505915775895,506.9709597621113,516.5917441565543,526.0734120514244,535.8573230709881,545.8946726825088,555.1279874742031,564.8684003856033,574.1244298685342,583.3617223408073,593.3737012539059,603.4674555379897,612.9307793099433,622.5484167002141,632.4850054420531,641.9027478992939,651.5344387739897,661.4155230652541,671.0004322528839,680.7722185589373,690.2128361277282,700.3180888593197,709.8197140917182,719.6134981177747,729.782406128943,739.7769699972123,749.6037550345063,759.5795696582645,768.7426719851792,778.3072909992188,788.192071961239,797.9437697995454,806.5503958314657,816.3170478325337,826.1177580337971,836.1192293893546,845.501716138795,855.249281886965,864.843383366242,874.7313996162266,884.5447372272611,894.2552237920463,904.2500668745488,913.6691933851689,923.0444419104606,932.5279229003936,942.0447516459972,951.3708683159202,960.6593680437654,970.2269450481981,978.0140945650637,10,16,"NVDA:GH200 x8 (TP=2, Total GPUs=16, Weight: 0.84, Reqs: 46856); NVDA:A100_80G:SXM x5 (TP=2, Total GPUs=10, Weight: 0.16, Reqs: 9144)"
ours,meta-llama/Llama-2-13b-hf,13b.jsonl,33182,33181,30.42566200992348,391.294926295965,378.7392252870265,0.10198152786071546,5.2539975848048925,14.976053787395358,22.2686970513314,29.46772824600339,36.563907109200954,43.98458890616894,51.310554971918464,58.376544458791614,65.80253127403557,74.3855040166527,83.5153729300946,90.86921369284391,98.98390800133348,107.42420875094831,115.227867025882,123.32128173112869,132.69801317341626,141.90613197349012,150.9487428162247,158.9875384643674,168.01233735866845,177.2656100001186,185.25306290760636,193.34154473617673,201.4995274282992,208.7370098605752,216.60615642741323,225.34519036859274,232.9856809731573,240.81452966295183,249.34209635667503,257.8318718057126,265.5978339202702,273.07666849158704,280.17458687350154,288.206974869594,297.2348011210561,305.40713380649686,312.14839311130345,319.7964726034552,327.5067623015493,334.7674751635641,342.53119559958577,350.21945348381996,356.7646890543401,363.8725384622812,371.1815541982651,377.7369839157909,384.34842369891703,390.880122853443,398.5709055867046,406.09945724345744,413.2813029922545,420.9976595919579,428.7498945258558,436.3108288999647,445.1978879813105,452.8529328610748,460.518451647833,468.3828244060278,475.33351530879736,482.4142072573304,490.1261945813894,497.9804200772196,506.90875864215195,514.4334132242948,521.3466655053198,528.7315926402807,536.3594226296991,544.6119623463601,552.3878837730736,560.3234869595617,567.2573974449188,576.0808563269675,583.4352049939334,590.7724447678775,598.3260035272688,605.6820786222816,613.4237415324897,621.1681584231555,628.9347120411694,637.5954897459596,645.8970361184329,654.0020326264203,661.5949816517532,669.8807108439505,677.8721697013825,685.6131042595953,693.3474224992096,701.4211774803698,709.3190930560231,716.8051213435829,725.134019613266,733.0770542640239,740.7154435515404,749.2303688749671,758.0690860357136,766.9757874086499,777.6493856459856,6,0,"NVDA:A100_80G:SXM x6 (TP=1, Total GPUs=6, Weight: 1.00, Reqs: 33182)"
ours,meta-llama/Llama-3.3-70B-Instruct,70b.jsonl,66654,66654,55.313328221620125,459.8279643210096,443.23937377376006,0.17137013312325491,6.685695981606841,16.2090576980263,25.44931435212493,34.87879804521799,44.19775252044201,54.004639018327,63.71742517501116,73.11915228143334,83.4756964482367,93.52184042334557,103.4560276530683,114.10246534459293,124.21550948359072,134.29521368071437,143.7265675291419,152.97474565915763,162.623947346583,172.14005727507174,182.35541967488825,192.28440065309405,201.7841451074928,211.58703722804785,220.3990876674652,229.51633291505277,238.44563491083682,247.60233886539936,257.0686926934868,266.2242770586163,274.894663406536,283.5550883449614,291.80076820217073,300.54232588224113,309.24320914410055,318.15461634099483,326.9307552240789,336.00290483795106,345.0454324390739,354.2007751315832,363.4852792136371,372.19426735304296,380.80579673685133,389.68711685948074,398.7413767557591,407.25057700276375,416.21057950146496,425.35677842237055,433.7620512917638,443.4780103806406,452.0800783801824,461.3055227249861,471.00932611338794,480.9724932536483,490.28528076037765,500.2501223962754,510.29646162316203,519.1419317871332,527.9306155350059,536.2694846130908,545.2753277961165,553.317543592304,561.5160876940936,570.5388120170683,580.0778067540377,589.3302264027297,598.1485955696553,607.2240071482956,616.2330304719508,624.8589111734182,633.9414118900895,642.6383795440197,651.9488940984011,659.8925139904022,668.6156426742673,677.8960243500769,686.6564183831215,695.1957268603146,703.8641283735633,712.7852510362864,720.8136362358928,729.6171021126211,738.6547010783106,746.9567676577717,756.4679737668484,765.4123382922262,773.8666071146727,782.9413587972522,791.067382087931,799.2921573780477,808.4037524592131,817.0231975279748,826.6546378955245,835.3490997944027,844.0327094122767,852.2099763657898,860.6461106687784,869.4657112304121,878.0435860343277,886.2676087059081,894.0416210200638,8,16,"NVDA:GH200 x4 (TP=4, Total GPUs=16, Weight: 0.83, Reqs: 55576); NVDA:A100_80G:SXM x2 (TP=4, Total GPUs=8, Weight: 0.17, Reqs: 11077)"
straw_1,meta-llama/CodeLlama-34b-hf,34b.jsonl,56001,56000,11.990283915081914,2015.2085035226446,1963.53120738586,0.09788264191470007,50.969874611124396,86.05091974325478,120.17423433810472,159.51855204440653,196.29465738125145,236.87723968178034,274.76755445823073,313.617547346279,351.59373364411294,387.51250853203237,425.93154338747263,462.20852531306446,500.15913763828576,536.8391617257148,577.2963623590767,615.562410864979,652.9578520394862,688.956872228533,725.3724645357579,762.9747617375106,801.3234318383038,838.6475076526403,874.5756544098258,911.612998964265,950.2650702726096,987.5959818344563,1024.1659800056368,1061.122922707349,1100.2069518864155,1137.0924796387553,1174.4687189590186,1211.3874891772866,1250.0445391833782,1287.4152706507593,1324.4019702989608,1362.1176782660186,1402.1918909344822,1441.2884258944541,1481.3668325170875,1519.721259245649,1560.4136246349663,1602.0217412803322,1642.9591013491154,1685.874130571261,1730.345250731334,1774.8670511469245,1820.8061082940549,1865.225607946515,1911.8847943078727,1957.2805045936257,2001.9957290869206,2047.1709268447012,2094.468895994127,2149.2461824472994,2194.148182541132,2239.1725216340274,2284.1943028718233,2329.0471747573465,2373.5156964324415,2415.2820863202214,2458.7970128767192,2500.819598989561,2545.211991108954,2584.225302571431,2624.6676900479943,2669.1379682254046,2713.4692068472505,2758.0253036506474,2804.7695671785623,2850.414505952969,2895.65241596289,2939.056931965053,2985.127880088985,3029.9149257782847,3073.1529870983213,3115.6650627013296,3159.9263271167874,3201.382667509839,3244.332371784374,3285.889789318666,3325.272129898891,3365.700928946957,3407.1004456430674,3447.3607930988073,3490.438157962635,3531.897826043889,3574.6021686326712,3617.8414194881916,3664.087807621807,3711.287173146382,3761.5002516135573,3810.2938969079405,3858.798196995631,3914.600037895143,3970.6466781385243,4027.628239510581,4092.2908153701574,4150.313980147243,4232.536236297339,16,0,"NVDA:A100_80G:SXM x8 (TP=2, Total GPUs=16, Weight: 1.00, Reqs: 56001)"
straw_1,meta-llama/Llama-2-13b-hf,13b.jsonl,33182,33181,19.916438797604474,657.3284842927778,645.3044127430086,0.0974888656001866,15.108164617791772,27.63048318400979,39.132575469091535,51.10520645044744,62.333740098401904,74.97644200921059,87.37258312106133,99.78819959424436,113.73281616903841,128.28774223290384,142.4912390653044,155.78707390651107,169.32619169168174,182.73949855193496,196.23606431484222,210.18348700925708,224.384098675102,238.84884936362505,252.3615718483925,267.7453162409365,282.8647380396724,296.2024209406227,308.6003569923341,321.36566484346986,334.66679899021983,346.68231168948114,359.7590980678797,372.8595982193947,385.05645995773375,398.01084771566093,410.99890084192157,424.3226991519332,438.6896531172097,451.6471279282123,464.6995238531381,477.62575738690794,490.37950241193175,503.1970297303051,515.6941135935485,528.7189600728452,540.9801423847675,552.9284351617098,564.6603548917919,577.494736911729,590.4066619984806,603.4439506661147,617.034795222804,629.7754663713276,642.6747013516724,655.4588688984513,667.352405667305,682.482358565554,694.6489333249629,706.5805173665285,720.1499832253903,732.5573159009218,745.7106187455356,757.6150376908481,770.6460400409997,782.5145453754812,797.5875947028399,809.8858753647655,822.3778384923935,834.8134848251939,846.8985568489879,861.7007973901927,873.6398353166878,887.783992357552,901.2262150105089,915.7935166675597,929.769446099177,943.118381684646,954.417973710224,966.324241893366,980.4000653922558,996.3180850986391,1009.7389803156257,1022.4220322091132,1035.3890358544886,1048.5392103288323,1061.9444585964084,1077.209188695997,1091.336916880682,1102.9253674857318,1116.6896329391748,1132.4879025947303,1146.1366610880941,1157.88058976084,1170.2662297673523,1183.8792994245887,1198.3676727656275,1211.1161757763475,1223.309495512396,1237.350967997685,1249.4351482503116,1262.4632360320538,1278.1590265985578,1303.0248884726316,1325.1397383082658,4,0,"NVDA:A100_80G:SXM x4 (TP=1, Total GPUs=4, Weight: 1.00, Reqs: 33182)"
straw_1,meta-llama/Llama-3.3-70B-Instruct,70b.jsonl,66654,66654,40.1627077453427,622.041591165194,614.0965620215817,0.07647729332386294,3.691350618377328,7.969996789470315,12.546446666121483,16.922399777919054,21.479867631569505,26.51248068921268,31.434771021828055,36.75671813450754,42.22280455008149,49.05865955725312,57.093210922554135,69.04286286234856,85.10332348197699,105.10632057674229,125.25090801157057,145.2779249548912,163.0888545010239,178.7113060001284,193.19857540912926,206.5329377837479,226.09970745630562,249.47548712044954,268.7443601805717,282.958378367126,298.32696246914566,311.60642702691257,323.64252272620797,333.8764108456671,344.19895166158676,356.33690112270415,370.77932922914624,383.9518986288458,395.6507367286831,407.1020466443151,417.9463466797024,430.3403682410717,442.4274561610073,455.6600454337895,470.20421502925456,484.7609782349318,500.4170786533505,514.8593631554395,530.7231332100928,544.5300269834697,559.3413797169924,572.7333661671728,586.9874634984881,600.6569917034358,613.0276185069233,625.9368197787553,640.4394370466471,651.2773139271885,663.1949095502496,674.154826508835,686.0953634660691,698.8165387641639,711.9126170035452,725.1442741956562,740.9283825270832,759.6080461889505,776.0743924137205,791.1056825127453,803.1458650995046,813.6547201424837,824.8658732101321,837.4367884043604,850.9066067468375,863.3962468020618,875.8551858086139,887.9560776706785,903.6490676049143,920.7373778950423,939.6794102229178,955.3390854392201,969.5893374402076,984.6118819955736,996.6859056688845,1008.74012022838,1019.5140204690397,1031.7331080343574,1042.7902418412268,1055.1108427215368,1068.3941830471158,1081.8671869877726,1092.7780559547246,1104.9787848871201,1119.0278513357043,1133.670674201101,1145.9623932242393,1159.102031858638,1171.5548075921834,1183.2979603521526,1196.7957690078765,1210.2378184590489,1223.2571821026504,1236.8973814826459,1252.1524950526655,1266.667341304943,1292.2326058577746,4,32,"NVDA:GH200 x8 (TP=4, Total GPUs=32, Weight: 0.89, Reqs: 59322); NVDA:A100_80G:SXM x1 (TP=4, Total GPUs=4, Weight: 0.11, Reqs: 7331)"
straw_2,meta-llama/Llama-3.3-70B-Instruct,70b.jsonl,66654,66654,72.98154689050834,316.1056909038339,303.616496748448,0.13751553938180175,4.716538332402706,10.401804853230715,16.28453305736184,22.583414010703564,28.785307116806507,35.501024009659886,42.32206771336496,49.33268985338509,55.899061581119895,63.03855346143246,69.85632061585784,76.71328850649297,83.53286159224808,90.93195039220154,97.52057542838156,104.09731131978333,110.5016067288816,117.26263185217977,124.55707938410342,131.31443012319505,138.17869419418275,145.12350653111935,151.28759147785604,158.3535849787295,165.66723138280213,172.6212283335626,179.06374307908118,185.86923808977008,192.78910749591887,199.2377351205796,205.38886198960245,211.35244612768292,217.17108570598066,223.24665831029415,229.24695964716375,235.19097560830414,241.02112674713135,247.601297121495,253.75489645265043,259.5632987264544,264.9280465301126,271.08888084068894,277.5491954628378,283.8139060586691,290.01631339266896,295.8103948496282,301.84985154494643,308.1903914324939,314.7559765484184,320.8297895696014,326.95283354073763,332.8611479718238,338.9503975789994,345.4128174893558,351.5900848861784,357.63480518758297,363.82235267944634,369.7247968390584,375.4761527851224,381.0936217457056,386.9866277091205,392.93941826187074,398.88503898866475,405.33284921199083,410.86872148513794,417.25223380327225,423.48500339128077,429.3773854188621,435.77237398922443,441.475742040202,447.69490247778594,453.24945331178606,458.90005232207477,464.8150157183409,470.61667542532086,476.2235118430108,481.97977186366916,487.911040853709,493.08310377039015,499.1622173152864,505.17407549358904,510.69649128615856,516.9583282656968,522.970473067835,528.7901266179979,534.9146768692881,540.6670289225876,546.3438815325499,552.1236026119441,558.1576117817312,564.095996979624,569.8773574549705,576.0840075034648,581.9063575603068,587.7928015049547,593.5786176193506,599.0553221553564,605.1642051134259,610.5930985305458,0,24,"NVDA:GH200 x6 (TP=4, Total GPUs=24, Weight: 1.00, Reqs: 66654)"
